# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8531
#@/user_id	win10-olymk
a 	啊	c=119 d=2.01088 t=8531
fen zhong 	分鐘	c=1 d=1 t=5020
feng 	封	c=3 d=1.89711 t=7660
feng 	楓	c=1 d=1 t=6869
feng 	風	c=1 d=1 t=2347
feng ban hao 	封版號	c=1 d=1 t=5186
feng jin 	封禁	c=2 d=1.87372 t=6275
feng kuang 	瘋狂	c=1 d=1 t=7907
feng le 	瘋了	c=0 d=0.1 t=3563
feng liu 	風流	c=1 d=1 t=3610
feng zhi 	峯值	c=1 d=1 t=1782
fou 	否	c=1 d=1 t=4511
fu 	附	c=1 d=1 t=1766
fu hao 	符號	c=1 d=1 t=2271
fu he 	符合	c=1 d=1 t=1088
fu wu 	服務	c=1 d=1 t=8161
fu wu qi 	服務器	c=10 d=1.99606 t=8011
fu za 	複雜	c=1 d=1 t=7822
fu ze 	負責	c=2 d=1 t=7821
fu ze ren 	負責人	c=1 d=1 t=5314
fu zhi 	複製	c=4 d=1.49466 t=8022
gai 	改	c=10 d=2.33484 t=8239
gai cheng 	改成	c=3 d=1.98021 t=4866
gai dong 	改動	c=4 d=1.86071 t=7289
gai duan kou 	改端口	c=1 d=1 t=7493
gai er 	蓋爾	c=0 d=0.1 t=7192
gai er le 	蓋爾了	c=1 d=1 t=7193
gai guo 	改過	c=1 d=1 t=5465
gai guo 	該國	c=1 d=1 t=5459
gai hao 	改好	c=1 d=1 t=4875
gai hao le 	改好了	c=1 d=1 t=3116
gai hua 	鈣化	c=1 d=1 t=6378
gai le 	改了	c=7 d=1 t=7194
gai nian 	概念	c=1 d=1 t=7693
gai si 	該死	c=1 d=1 t=1222
gai wei 	改爲	c=2 d=1.97045 t=7892
gai xia 	改下	c=4 d=1 t=7485
gai yi xia 	改一下	c=1 d=1 t=7497
gan 	敢	c=1 d=1 t=3184
gan 	肝	c=1 d=1 t=3154
gan gang 	幹剛	c=1 d=1 t=2231
gan jin 	趕緊	c=1 d=1 t=7647
gan jing 	乾淨	c=1 d=1 t=5621
gan jue 	感覺	c=7 d=0.108609 t=8531
gan ma 	幹嘛	c=4 d=1.0773 t=7605
gan nei 	肝內	c=1 d=1 t=6377
gan shang 	趕上	c=1 d=0.767206 t=8531
gan xie 	感謝	c=1 d=1 t=4792
gan xing qu 	感興趣	c=1 d=1 t=7688
gang 	剛	c=1 d=1 t=4929
gang bei 	崗唄	c=1 d=1 t=2386
gang chu lai 	剛出來	c=2 d=1.93239 t=6024
gang chu lai de 	剛出來的	c=1 d=1 t=2189
gang gan 	槓桿	c=1 d=1.09802 t=5885
gang gang 	剛剛	c=5 d=1.0705 t=7236
gang kai shi 	剛開始	c=1 d=1 t=4160
gao 	搞	c=7 d=2.42947 t=8381
gao 	高	c=2 d=1.57407 t=6999
gao bu dong 	搞不懂	c=2 d=1.09209 t=1239
gao bu hao 	搞不好	c=3 d=1 t=7972
gao bu qing 	搞不清	c=1 d=1 t=2744
gao cuo 	搞錯	c=1 d=1 t=2767
gao de 	搞得	c=1 d=1 t=5696
gao ge 	高哥	c=6 d=1.08297 t=5318
gao hao 	搞好	c=1 d=1 t=8344
gao hao le 	搞好了	c=2 d=1.99005 t=6312
gao ji 	高級	c=1 d=1 t=5963
gao jian 	高見	c=1 d=1 t=5673
gao jie 	告誡	c=1 d=1 t=1160
gao le 	搞了	c=2 d=1.00001 t=8065
gao su 	告訴	c=1 d=1 t=5666
gao xiao 	高效	c=1 d=0.628135 t=8531
gao yi ge 	搞一個	c=1 d=1 t=7009
gao zhi 	告知	c=1 d=1.02605 t=4780
gao zhi xia 	告知下	c=1 d=1 t=4512
ge 	個	c=22 d=1.77721 t=8350
ge 	哥	c=4 d=1.00108 t=6892
ge bi 	隔壁	c=0 d=0.1 t=6262
ge ge 	各個	c=1 d=1 t=5981
ge shi 	格式	c=15 d=1.01579 t=7859
ge wei 	各位	c=1 d=0.0778801 t=8531
ge xiang 	各項	c=1 d=1 t=1818
ge yue 	個月	c=1 d=1 t=5932
ge zhong 	各種	c=1 d=1 t=8358
gei 	給	c=11 d=1.00007 t=6921
gei de 	給的	c=3 d=1 t=8319
gei ge 	給個	c=6 d=1.80661 t=6294
gei ni 	給你	c=2 d=1.00001 t=3885
gei ta 	給她	c=1 d=1 t=6828
gei wo 	給我	c=5 d=1.19205 t=5873
gen 	跟	c=13 d=1.30868 t=8171
gen ben 	根本	c=3 d=1.0008 t=7790
gen ju 	根據	c=5 d=1.29104 t=6951
gen yi xia 	跟一下	c=1 d=1 t=6473
geng 	更	c=1 d=1 t=7778
geng duo 	更多	c=1 d=1 t=8399
geng hao 	更好	c=1 d=1 t=1355
geng hou 	更厚	c=1 d=1 t=862
geng nan 	更難	c=1 d=1 t=6391
geng niu bi 	更牛逼	c=1 d=1 t=5741
geng xin 	更新	c=3 d=1.01869 t=6347
gong ji 	攻擊	c=1 d=1 t=1885
gong ju 	工具	c=4 d=1.05423 t=8436
gong ju ren 	工具人	c=1 d=1 t=3501
gong neng 	功能	c=9 d=0.25924 t=8531
gong shi 	公式	c=1 d=1 t=1376
gong shi 	工時	c=4 d=2.69205 t=4783
gong si 	公司	c=2 d=1 t=8433
gong zuo 	工作	c=16 d=4.89727 t=8531
gou 	夠	c=1 d=1 t=8139
gou 	狗	c=1 d=1 t=8140
gou qie 	苟且	c=1 d=1 t=5985
gou tong 	溝通	c=1 d=1 t=4156
gou wu che 	購物車	c=1 d=1 t=2522
gou zi 	鉤子	c=1 d=1 t=3967
gu 	股	c=1 d=1 t=5994
gu ding 	固定	c=1 d=0.313486 t=8531
gu ji 	估計	c=7 d=1.44408 t=6284
gu lai 	古來	c=1 d=1 t=2813
gu piao 	股票	c=1 d=1 t=5656
gu shi 	股市	c=7 d=3.48373 t=5883
gu suan 	估算	c=1 d=1 t=7755
gu zhang 	故障	c=18 d=1.70351 t=7406
gu zhang dan 	故障單	c=1 d=1 t=6971
gua 	掛	c=3 d=1 t=5338
gua qi 	掛起	c=1 d=1 t=8521
guai wu 	怪物	c=1 d=1 t=7622
guan 	管	c=2 d=1 t=4772
guan 	關	c=1 d=1 t=2904
guan bi 	關閉	c=1 d=1 t=2304
guan jian 	關鍵	c=1 d=1 t=6482
guan jian ci 	關鍵詞	c=2 d=1.956 t=4535
guan li 	管理	c=7 d=0.346402 t=8531
guan lian 	關聯	c=2 d=1.01592 t=3804
guan men 	關門	c=1 d=1 t=6316
guan wang 	官網	c=1 d=1 t=3808
guan xi 	關係	c=2 d=1 t=7686
guan xia 	關下	c=1 d=1 t=2348
guang 	光	c=1 d=0.127454 t=8531
guang gao 	廣告	c=1 d=1 t=1340
guang you 	光有	c=1 d=1 t=3519
gui 	貴	c=2 d=1 t=7066
gui 	鬼	c=2 d=1 t=7064
gui cai 	鬼才	c=1 d=1 t=2474
gui fan 	規範	c=2 d=1.7827 t=1142
gui hua 	規劃	c=0 d=0.1 t=972
gui ze 	規則	c=1 d=1 t=1022
gun 	滾	c=1 d=1 t=3881
guo 	國	c=2 d=1.04117 t=3511
guo 	過	c=9 d=1.51078 t=8375
guo 	郭	c=1 d=1 t=4663
guo bu hao 	過不好	c=1 d=1 t=5808
guo de 	過得	c=1 d=1 t=6418
guo ji 	國際	c=1 d=1 t=7357
guo jia 	國家	c=4 d=1.0098 t=7351
guo lai 	過來	c=4 d=1.0869 t=4220
guo lai de 	過來的	c=1 d=1 t=4221
guo le 	過了	c=1 d=1 t=5768
guo lia 	過倆	c=1 d=1 t=5117
guo lv 	過濾	c=1 d=1 t=6416
guo nei 	國內	c=1 d=1 t=5764
guo qi 	過期	c=1 d=1 t=6332
guo qu 	過去	c=1 d=1 t=7030
guo ran 	果然	c=2 d=1 t=8043
guo shuang 	國雙	c=1 d=1 t=3751
guo wai 	國外	c=1 d=0.160414 t=8531
guo yin 	過癮	c=1 d=1 t=1234
ha fo 	哈佛	c=1 d=1 t=3128
ha ha 	哈哈	c=2 d=1.15803 t=1265
hai 	還	c=19 d=2.35719 t=8499
hai bu cuo 	還不錯	c=1 d=1 t=2220
hai bu ru 	還不如	c=1 d=1 t=3819
hai bu zhi dao 	還不知道	c=1 d=1 t=2378
hai hui 	還會	c=2 d=1.99005 t=2248
hai ke yi 	還可以	c=0 d=0.0120032 t=8531
hai ke yi ba 	還可以吧	c=1 d=0.120633 t=8531
hai mei you 	還沒有	c=1 d=1 t=4571
hai neng 	還能	c=1 d=1.00225 t=7092
hai neng yong 	還能用	c=1 d=1 t=6334
hai shi 	還是	c=31 d=2.04006 t=8531
hai xiang 	還想	c=2 d=1.03652 t=7008
hai xing 	還行	c=0 d=0.0109154 t=8531
hai xing ba 	還行吧	c=1 d=0.109701 t=8531
hai yao 	還要	c=4 d=2.16551 t=6265
hai you 	還有	c=11 d=1.28096 t=7425
hai you ge 	還有個	c=1 d=1 t=4295
hai you ren 	還有人	c=1 d=1 t=5092
hai zai 	還在	c=1 d=1 t=3397
hai zi 	孩子	c=2 d=1.96079 t=805
han 	喊	c=2 d=1 t=7134
han jia 	寒假	c=1 d=1 t=8400
han shu 	函數	c=0 d=0.1 t=910
han you 	含有	c=1 d=1 t=4698
hang 	航	c=1 d=1 t=7105
hang ban 	航班	c=1 d=1 t=4325
hang hao 	行號	c=1 d=1 t=7237
hang ye 	行業	c=1 d=1 t=5738
hao 	好	c=22 d=1.00091 t=7173
hao 	號	c=15 d=1.40697 t=8492
hao chi 	好吃	c=1 d=1 t=1208
hao chu 	好處	c=1 d=0.169483 t=8531
hao de 	好的	c=60 d=0.82422 t=8531
hao di 	好滴	c=1 d=1 t=6533
hao duo 	好多	c=2 d=0.201897 t=8531
hao fa 	好伐	c=1 d=1 t=5737
hao hao 	好好	c=1 d=0.357007 t=8531
hao kan 	好看	c=1 d=0.140156 t=8531
hao le 	好了	c=0 d=0.1 t=3115
hao ma 	號碼	c=3 d=1.97046 t=6658
hao man 	好慢	c=1 d=1 t=8275
hao wan 	好玩	c=2 d=1 t=6071
hao xiang 	好像	c=11 d=1.34768 t=8251
hao xiao 	好笑	c=2 d=1.9802 t=6876
he 	合	c=32 d=1.17268 t=5917
he 	和	c=34 d=1.82024 t=8531
he bing 	合併	c=8 d=3.51366 t=4252
he bing dai ma 	合併代碼	c=4 d=2.37134 t=4188
he bu liao 	合不了	c=1 d=1 t=4645
he dai ma 	合代碼	c=2 d=1.86502 t=3966
he guo 	合過	c=1 d=1 t=4064
he ni 	和你	c=1 d=1 t=635
he rong 	貉絨	c=1 d=1 t=6522
he tong 	合同	c=2 d=1.97045 t=6529
he yi ci 	合一次	c=1 d=1 t=3996
hei zhao 	黑照	c=1 d=1 t=3202
hen 	很	c=14 d=1.12192 t=8531
hen bu cuo 	很不錯	c=2 d=1 t=7740
hen da 	很大	c=1 d=0.208045 t=8531
hen di di 	很弟弟	c=1 d=0.111917 t=8531
hen dou 	很陡	c=1 d=0.215456 t=8531
hen duo 	很多	c=6 d=0.960792 t=8531
hen hao 	很好	c=1 d=1.06079 t=1334
hen hao yong 	很好用	c=1 d=1 t=1335
hen huo 	很火	c=1 d=1 t=2192
hen jiu 	很久	c=1 d=1 t=7468
hen lei 	很累	c=1 d=1 t=2156
hen nan 	很難	c=1 d=0.320684 t=8531
hen nan shou 	很難收	c=1 d=0.551563 t=8531
hen qiang 	很強	c=1 d=0.131994 t=8531
hen shen 	很深	c=0 d=0.1 t=3552
hen you ke neng 	很有可能	c=1 d=1 t=7529
hen zheng chang 	很正常	c=1 d=1 t=692
heng li 	亨利	c=1 d=1 t=1125
hong 	紅	c=2 d=1.97531 t=4903
hong bao 	紅包	c=1 d=1 t=6266
hong xi bao 	紅細胞	c=1 d=1 t=6384
hou 	後	c=8 d=1 t=8017
hou bu 	候補	c=3 d=2.86084 t=6027
hou duan 	後端	c=3 d=2.15708 t=6927
hou hui 	後悔	c=1 d=1 t=3347
hou lai 	後來	c=1 d=1 t=2457
hou mian 	後面	c=2 d=1 t=6694
hou qu 	後去	c=1 d=1 t=3042
hou tai 	後臺	c=8 d=1.00012 t=4869
hou xu 	後續	c=1 d=1 t=3043
hou xuan 	候選	c=0 d=0.099005 t=8531
hou xuan zi 	候選字	c=1 d=0.995012 t=8531
hou zhe 	後者	c=1 d=1 t=4915
hu lve 	忽略	c=1 d=1 t=1866
hu nan 	湖南	c=1 d=1 t=2004
hu qu 	湖區	c=1 d=1 t=8451
hua 	化	c=1 d=1 t=5607
hua 	話	c=14 d=0.476987 t=8531
hua ji 	滑稽	c=1 d=1 t=728
huai nian 	懷念	c=1 d=1 t=684
huan 	換	c=2 d=1.00033 t=4379
huan cheng 	換成	c=3 d=1.9608 t=2863
huan cun 	緩存	c=2 d=1.06081 t=2481
huan jing 	環境	c=53 d=1.45657 t=8526
huan man 	緩慢	c=3 d=2.0929 t=1904
huan yuan 	還原	c=2 d=1.69448 t=7315
huan yuan le 	還原了	c=1 d=1 t=7316
huang 	黃	c=2 d=1.00552 t=6045
huang biao 	黃彪	c=2 d=1.40454 t=4561
huang jin 	黃金	c=4 d=1.94685 t=7354
hui 	會	c=12 d=1.01897 t=8454
hui bao 	彙報	c=3 d=1.23644 t=5305
hui bao le 	彙報了	c=1 d=1 t=5304
hui bao qun 	彙報羣	c=1 d=1 t=5306
hui diao 	回調	c=12 d=3.48131 t=3066
hui fu 	回覆	c=6 d=0.748264 t=8531
hui gun 	回滾	c=1 d=1 t=3789
hui jia 	回家	c=1 d=1 t=8488
hui qu 	回去	c=2 d=1.81465 t=8493
hui tiao 	回調	c=1 d=1 t=2716
hui xian 	回顯	c=1 d=1 t=8155
hui yi shi 	會議室	c=1 d=1 t=7664
hui you 	會有	c=1 d=1 t=3057
hui yuan 	會員	c=3 d=1.08025 t=6606
hui yuan hao 	會員號	c=1 d=1 t=6563
hun he 	混合	c=12 d=2.62187 t=2812
hun he zhi fu 	混合支付	c=1 d=1 t=2679
huo qu 	獲取	c=5 d=0.755784 t=8531
huo xu 	或許	c=1 d=0.759572 t=8531
huo zhe 	或者	c=17 d=2.52271 t=8531
ji 	及	c=1 d=1 t=4192
ji 	機	c=2 d=1.0515 t=5944
ji 	雞	c=2 d=0.115435 t=1956
ji ben 	基本	c=1 d=1 t=5791
ji dan 	雞蛋	c=1 d=1 t=1203
ji de 	記得	c=0 d=0.1 t=3119
ji dian 	幾點	c=2 d=1.97045 t=4457
ji er 	雞兒	c=8 d=1.40534 t=8351
ji er wan yi 	雞兒玩意	c=1 d=1 t=525
ji ge 	幾個	c=1 d=0.301194 t=8531
ji he 	集合	c=2 d=1.95123 t=3732
ji hua 	激化	c=1 d=1 t=6321
ji hua 	計劃	c=2 d=1.99005 t=5281
ji hui 	機會	c=1 d=1 t=3624
ji huo 	激活	c=4 d=1.81465 t=6295
ji jin 	基金	c=1 d=1 t=5651
ji le 	雞肋	c=0 d=0.1 t=4096
ji lu 	記錄	c=1 d=0.398519 t=8531
ji nian 	幾年	c=1 d=1 t=5758
ji qi 	機器	c=4 d=1.05441 t=7186
ji qian 	幾千	c=1 d=1 t=5953
ji shu 	技術	c=1 d=1 t=7455
ji suan 	計算	c=13 d=3.35674 t=7841
ji ti 	集體	c=1 d=1 t=7866
ji zai 	記在	c=1 d=1 t=2185
ji zhi 	機制	c=1 d=0.421052 t=8531
ji zhong 	集中	c=1 d=1 t=1815
ji zhu 	記住	c=1 d=0.29523 t=8531
ji zi 	機子	c=1 d=1 t=6160
ji zi 	集資	c=1 d=1 t=5654
jia 	加	c=3 d=1.01116 t=6806
jia 	夾	c=2 d=1.00011 t=7877
jia 	家	c=1 d=0.101827 t=5881
jia ban 	加班	c=3 d=1.92775 t=4672
jia duo bao 	加多寶	c=1 d=1 t=5924
jia gang gan 	家槓桿	c=1 d=1 t=5882
jia ge 	價格	c=3 d=1.84162 t=2637
jia ge 	加個	c=3 d=1.01073 t=6749
jia gong 	加工	c=1 d=1 t=6417
jia gou 	架構	c=8 d=5.083 t=1199
jia le 	嫁了	c=1 d=1 t=6804
jia li 	家裏	c=1 d=1 t=3614
jia qi 	假期	c=5 d=1 t=8035
jia qi zu 	假期組	c=2 d=1.80252 t=5252
jia shang qu 	加上去	c=1 d=1 t=6692
jia shi 	駕駛	c=0 d=0.1 t=5697
jia si 	假死	c=2 d=1.99501 t=8523
jia zhang 	家長	c=1 d=1 t=8402
jia zhi 	價值	c=1 d=1 t=3599
jian 	減	c=2 d=1.91851 t=2628
jian 	見	c=1 d=1 t=7636
jian 	鍵	c=1 d=0.985112 t=8531
jian ce 	檢測	c=1 d=1 t=4509
jian chi 	堅持	c=2 d=0.94483 t=8531
jian dan 	簡單	c=1 d=1 t=7845
jian guo 	堅果	c=0 d=0.1 t=6987
jian guo 	見過	c=1 d=1 t=1018
jian guo yun 	堅果雲	c=2 d=1.99501 t=6989
jian pan 	鍵盤	c=1 d=1 t=7921
jian rong 	兼容	c=1 d=1 t=2771
jian rong xing 	兼容性	c=1 d=1 t=3099
jiang 	將	c=1 d=1 t=1772
jiang 	降	c=1 d=1 t=5559
jiang jin 	將近	c=1 d=1 t=1809
jiang xi 	降息	c=2 d=1.94649 t=5604
jiang zi 	醬紫	c=0 d=0.1 t=6313
jiang zi ba 	醬紫吧	c=1 d=1 t=6314
jiao 	叫	c=3 d=1.00472 t=6992
jiao 	教	c=1 d=1 t=6995
jiao 	腳	c=1 d=1 t=1064
jiao 	較	c=3 d=1.7714 t=5787
jiao ben 	腳本	c=8 d=1.39049 t=8320
jiao du 	角度	c=1 d=0.130029 t=8531
jiao ji 	交集	c=2 d=1.96561 t=3733
jiao jie 	交接	c=2 d=1.05872 t=4994
jiao ni 	教你	c=1 d=1 t=5889
jiao wo 	叫我	c=1 d=1 t=7910
jiao zuo 	叫作	c=1 d=0.865022 t=8531
jie 	借	c=1 d=1 t=4839
jie 	姐	c=2 d=1.00009 t=6519
jie 	接	c=0 d=0.1 t=2382
jie 	街	c=0 d=0.1 t=2384
jie chu 	接觸	c=1 d=1 t=4170
jie guo 	結果	c=8 d=1.39388 t=7408
jie hun 	結婚	c=1 d=1.0956 t=3402
jie hun sheng zi 	結婚生子	c=1 d=1 t=3394
jie jia ri 	節假日	c=1 d=1 t=8366
jie jian 	借鑑	c=1 d=1 t=7440
jie jue 	解決	c=7 d=1 t=8393
jie ke 	皆可	c=1 d=1 t=3905
jie kou 	接口	c=10 d=1 t=8036
jie mian 	界面	c=2 d=0.255941 t=8531
jie ou 	接偶	c=1 d=1 t=1411
jie ri 	節日	c=1 d=1 t=8378
jie san 	解散	c=2 d=1.96561 t=7662
jie shi 	解釋	c=3 d=1 t=5089
jie shou 	接受	c=1 d=1 t=7801
jie shou 	接手	c=2 d=1.00001 t=4930
jie suan 	結算	c=1 d=1 t=2835
jie suan dan 	結算單	c=20 d=2.04472 t=7367
jie tu 	截圖	c=1 d=1 t=2917
jie ya 	解壓	c=3 d=1.97597 t=7883
jin 	近	c=1 d=1 t=1827
jin bu 	進步	c=1 d=1 t=1181
jin du 	進度	c=12 d=4.93673 t=5152
jin e 	金額	c=5 d=1 t=5420
jin ji 	緊急	c=3 d=1.09751 t=4687
jin jia 	金價	c=1 d=1 t=7358
jin qu 	進去	c=1 d=1 t=7963
jin ru 	進入	c=2 d=1 t=8269
jin tian 	今天	c=9 d=0.105399 t=8531
jin wan 	今晚	c=1 d=1 t=2392
jin xing 	進行	c=2 d=1.00015 t=6202
jin zhi 	禁止	c=1 d=1 t=7610
jing 	婧	c=1 d=1 t=4678
jing chang 	經常	c=1 d=1 t=2244
jing dong 	京東	c=1 d=1 t=3821
jing du 	精度	c=1 d=1 t=2498
jing ji 	經濟	c=1 d=1 t=5781
jing li 	經歷	c=1 d=1 t=7123
jing li 	經理	c=3 d=1.00001 t=5013
jing que 	精確	c=1 d=1 t=6603
jing ran 	竟然	c=1 d=1 t=1226
jing shen 	精神	c=1 d=1 t=7166
jiu 	就	c=61 d=2.18558 t=8531
jiu 	舅	c=0 d=0.1 t=1272
jiu 	舊	c=1 d=0.766977 t=2771
jiu an 	就按	c=1 d=1 t=2750
jiu bu pa 	就不怕	c=1 d=1 t=2205
jiu cai 	韭菜	c=4 d=3.72964 t=5619
jiu di xi 	舅弟媳	c=1 d=1 t=1273
jiu ge 	九個	c=1 d=0.477114 t=8531
jiu hui 	就會	c=1 d=1 t=7992
jiu ke yi 	就可以	c=3 d=1 t=8156
jiu le 	久了	c=1 d=0.818731 t=8531
jiu shi 	就是	c=28 d=0.860851 t=8531
jiu shi le 	就是了	c=1 d=1 t=7998
jiu shu ju 	舊數據	c=1 d=1 t=2772
jiu suan 	就算	c=2 d=1.79057 t=3422
jiu wo 	就我	c=1 d=1 t=6293
jiu xing 	就行	c=0 d=0.1 t=510
jiu xing le 	就行了	c=10 d=1.01448 t=7403
jiu you 	就有	c=2 d=1 t=3724
jiu you ren 	就有人	c=1 d=1 t=2195
ju 	局	c=2 d=1.00082 t=7832
ju 	據	c=1 d=1 t=1905
ju 	聚	c=1 d=1.09851 t=2564
ju da 	巨大	c=2 d=1.90032 t=1876
ju ran 	居然	c=5 d=1.00019 t=8007
ju ti 	具體	c=5 d=2.01565 t=6939
ju yi bo 	聚一波	c=1 d=1 t=2562
jue de 	覺得	c=11 d=1.95616 t=5659
jue dui 	絕對	c=1 d=0.244143 t=8531
jun 	軍	c=1 d=1 t=5402
jun xian 	君賢	c=7 d=1 t=8318
ka hao 	卡號	c=2 d=1.9802 t=1558
kai 	開	c=1 d=1 t=8524
kai che 	開車	c=1 d=1 t=5542
kai fa 	開發	c=19 d=2.08208 t=4639
kai fang 	開放	c=2 d=1 t=6387
kai guan 	開關	c=1 d=1 t=4296
kai le 	開了	c=1 d=1 t=2699
kai ren 	開刃	c=1 d=1 t=7936
kai shi 	開始	c=2 d=0.339596 t=8531
kai tou 	開頭	c=1 d=1 t=6732
kai xin 	開心	c=0 d=0.1 t=770
kai xin le 	開心了	c=1 d=1 t=771
kan 	看	c=5 d=0.0444858 t=8531
kan 	砍	c=1 d=1 t=7932
kan bu dao 	看不到	c=3 d=2.80544 t=2046
kan bu dong 	看不懂	c=1 d=1 t=698
kan bu qi 	看不起	c=1 d=1 t=5922
kan chu 	看出	c=1 d=1 t=757
kan chuan 	看穿	c=1 d=1 t=7129
kan cuo 	看錯	c=1 d=1 t=6793
kan dai 	看待	c=0 d=0.1 t=2365
kan dai ma 	看待嗎	c=1 d=1 t=2366
kan dao 	看到	c=7 d=1.00371 t=6404
kan dao le 	看到了	c=1 d=1 t=835
kan de 	看得	c=2 d=1.10331 t=3865
kan dong 	看懂	c=0 d=0.1 t=2453
kan dong le 	看懂了	c=1 d=1 t=2454
kan guo 	看過	c=1 d=1.07945 t=7080
kan kan 	看看	c=3 d=1.00004 t=5874
kan lai 	看來	c=3 d=2.63094 t=5615
kan le 	看了	c=3 d=1.03765 t=7362
kan shang 	看上	c=3 d=1 t=8516
kan shang qu 	看上去	c=1 d=1 t=5995
kan shang wo 	看上我	c=1 d=1 t=3467
kan shi pin 	看視頻	c=1 d=0.447088 t=8531
kan si 	砍死	c=1 d=1 t=3211
kan xia 	看下	c=12 d=1.41496 t=5372
kan yi xia 	看一下	c=2 d=1.44709 t=2756
kan zhe 	看着	c=1 d=1 t=5978
kao 	考	c=1 d=1 t=5945
kao 	靠	c=2 d=1.00006 t=5161
kao qin 	考勤	c=1 d=1 t=7598
kao yan 	考研	c=1 d=0.562705 t=8531
ke 	可	c=2 d=1 t=7526
ke deng lu 	可登錄	c=1 d=1 t=5510
ke fu 	客服	c=2 d=1.956 t=7557
ke jian 	可見	c=2 d=1.86555 t=7720
ke neng 	可能	c=13 d=1.0418 t=8059
ke shi 	可是	c=1 d=1 t=5805
ke xi 	可惜	c=1 d=1 t=8092
ke yi 	可以	c=58 d=2.6653 t=8531
ke yi le 	可以了	c=1 d=1 t=1370
ke yi ma 	可以嗎	c=1 d=1 t=5504
ke yong 	可用	c=1 d=1 t=5331
ken ding 	肯定	c=6 d=1.47355 t=8236
kong bai 	空白	c=0 d=0.1 t=3079
kong bai ye 	空白頁	c=2 d=1.97045 t=3086
kong ge 	空格	c=1 d=0.970446 t=8531
kou bi 	摳鼻	c=2 d=1.99501 t=870
ku 	哭	c=1 d=1 t=3304
ku 	庫	c=3 d=1.14 t=3049
ku cun 	庫存	c=0 d=0.1 t=5708
ku le 	哭了	c=1 d=1 t=5926
ku qiong 	哭窮	c=1 d=1 t=8009
ku sha 	哭啥	c=1 d=1 t=3312
kua yu yan 	跨語言	c=1 d=1 t=8095
kua yue 	跨月	c=1 d=1 t=1838
kuai 	塊	c=1 d=1 t=2923
kuai 	快	c=5 d=1.0008 t=8430
kuai le 	快樂	c=1 d=1 t=3697
kuan kou 	寬口	c=1 d=1 t=7514
kui le 	虧了	c=1 d=1 t=5818
kun 	坤	c=2 d=1.42741 t=2512
kun chong 	昆蟲	c=2 d=1.79057 t=8267
kuo zhan 	擴展	c=1 d=1 t=542
la 	啦	c=4 d=1.02068 t=3703
la 	拉	c=1 d=1.01451 t=5705
la ji 	垃圾	c=2 d=0.151829 t=8531
la ji 	辣雞	c=3 d=1 t=8157
la jiao 	辣椒	c=1 d=1 t=1048
la xia 	拉下	c=1 d=1 t=1295
la yi xia 	拉一下	c=1 d=1 t=5320
lai 	來	c=12 d=0.666977 t=8531
lai 	賴	c=1 d=1 t=785
lai bu ji 	來不及	c=1 d=1 t=5088
lai de 	來的	c=1 d=1 t=833
lai shuo 	來說	c=4 d=0.654045 t=8531
lai yi fa 	來一發	c=1 d=1 t=7627
lai zai 	賴在	c=1 d=0.440432 t=8531
lai zhe 	來着	c=1 d=1 t=5694
lan de 	懶得	c=1 d=1 t=8116
lan jie 	攔截	c=0 d=0.1 t=542
lan jie qi 	攔截器	c=1 d=1 t=543
lang fei shi jian 	浪費時間	c=1 d=1 t=8331
lao po 	老婆	c=1 d=1 t=3317
lao wang 	老王	c=3 d=1.02128 t=7020
lao zi 	老子	c=2 d=0.1 t=7631
le 	了	c=195 d=3.89285 t=8531
lei 	類	c=2 d=1 t=7854
lei chi 	雷池	c=1 d=1 t=6819
lei si 	類似	c=1 d=1 t=6711
lei xing 	類型	c=3 d=1.5961 t=8050
li 	理	c=1 d=1 t=5777
li 	裏	c=15 d=2.6312 t=8424
li cheng 	里程	c=21 d=1.00073 t=6959
li cheng bu zu 	里程不足	c=1 d=1 t=1353
li hai 	厲害	c=1 d=1 t=5687
li jie 	理解	c=2 d=0.997115 t=7751
li jie wei 	理解爲	c=1 d=1 t=7723
li ma 	立馬	c=1 d=1 t=6323
li mian 	裏面	c=2 d=1 t=8271
li yong 	利用	c=2 d=1.53794 t=3598
li zhi 	離職	c=2 d=1.74629 t=4734
li zhi hou 	離職後	c=1 d=1 t=4671
lia 	倆	c=2 d=1.85214 t=3252
lian 	練	c=1 d=1 t=7083
lian 	連	c=5 d=1.00584 t=8042
lian bu liao 	連不了	c=1 d=1 t=7475
lian jie 	連接	c=2 d=2.07043 t=7988
lian jie 	鏈接	c=3 d=1.00084 t=6283
lian lian 	連連	c=1 d=1 t=7919
lian ma 	連嗎	c=1 d=1 t=7517
lian meng 	聯盟	c=1 d=1 t=5918
lian tong 	聯通	c=1 d=1 t=7430
lian xi 	練習	c=1 d=0.390628 t=8531
lian xi 	聯繫	c=1 d=1 t=5004
liang 	兩	c=3 d=1.87454 t=3321
liang 	量	c=3 d=2.44304 t=1897
liang chu 	兩處	c=1 d=1 t=7888
liang dian 	亮點	c=1 d=1 t=4472
liang dian 	兩點	c=2 d=1.956 t=4482
liang ge 	兩個	c=9 d=1.01116 t=8496
liang le 	涼了	c=1 d=1 t=858
liang liang 	涼涼	c=2 d=1 t=6242
liang nv 	兩女	c=1 d=1 t=3131
